Austen,Austen_Title,Austen_Title2,PROTAG.NAME,PROTAG.GENDER,Combination,Combination_Class,Combination_Class2,STORY.ID,Short_Title,Author_Gender,Canonicity,PUB..DATE,GENRE,PREDICATE,AGENT,PATIENT,POSESSOR,AFFECT,COGITATION,SOCIABILITY,POLARITY,COMMUNICATIVENESS,DESCRIPTIVENESS,ABSTRACTION,DISTINCTIVENESS_SKEW,DISTINCTIVENESS_SKEW.woSaid.,DEPTH,CLASS.SIMILARITY,HOMOGENEITY,DISTINCTIVENESS_KL,EMBODIMENT,CLOTHES,MOTION,PHYSICAL,PERCEPTION,VALUATION,CENTRALITY,ENSEMBLE,MENTIONS,POPULATION,SOCIO,COMM,COG_PER,COG_PER_RATIO
,,,Mr. Trevor,M,m_M,All,Male_Male,Chadwyck_1794_Holcroft_TheAdventuresof,1794_Holcroft_TheAdventuresof,m,non,1794,rom,0.4806382948,-0.9124563883,0.7351127662,-0.0812528693,0.7680517708,0.5243951237,-0.3680435738,-1.1419706379,-0.6630062349,-0.3458256059,-1.4128122856,-0.8004166212,0.0198465504,1.1312924866,-0.6653164522,-0.9942008251,-0.0478062644,-0.6877248231,-0.026594446,-1.8909764708,-0.1849033083,-0.2229977007,0.3997445849,-0.6331995506,-0.0343466195,-1.0957990259,-0.606236629,-0.6143575199,-0.5536890069,0.2951981785,0.2557097133
,,,Emily,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Radcliffe_TheMysteriesof,1794_Radcliffe_TheMysteriesof,f,can,1794,rom,-0.9578216364,0.7188418801,-0.3923143475,0.3510935476,0.4271388376,1.2321976226,-0.3963090947,-1.1419706379,-0.28288714,-0.7972386655,-0.1664675309,0.5475151224,0.4589350023,0.7697499917,0.7469860336,0.8742587931,-0.1261906586,-0.8197206853,-0.7142455599,0.3381524673,-0.563265072,2.1414655328,0.1451805773,5.1126593696,-0.6884936001,3.6524855673,-0.7830643109,-1.2521451516,-0.899130323,2.0117644621,-0.5241890075
,,,Charlotte Temple,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Rowson_CharlotteATale,1794_Rowson_CharlotteATale,f,non,1794,rom,0.4268326733,1.9531909219,1.1752550662,-2.340058454,3.8092115874,-1.7956241781,-0.8490688724,0.5669068524,0.6958573799,1.8847029125,0.6090259628,-1.0568455934,-0.9300207429,-0.5809857125,-0.8786571585,-0.9893154524,2.8451819021,-1.0365993801,-1.0520724968,1.6935469841,-0.8596395442,1.9012796786,-1.3553701497,-0.3330337747,-0.6884936001,-0.8279675529,5.927229018,1.2417510094,0.0869901847,-0.4481984351,-1.4383546291
,,,Marian,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Rowson_MentoriaorThe,1794_Rowson_MentoriaorThe,f,non,1794,rom,0.2584970513,-1.5784482194,0.4926899259,0.6802122069,2.4536768293,-1.3237558456,-0.4357607573,0.1396874798,-0.0626246083,0.8074818324,-0.0537486817,-0.703987936,-1.2587725549,-0.5826371212,-0.4885389352,-1.1147168671,0.4491887996,1.4653030714,0.7101566481,-0.4805043413,-0.27989049,-0.4405230237,3.9227541029,-0.7404759154,-0.6884936001,-0.7630673951,2.0564643871,0.9931475129,0.0720202105,-1.2414082203,-0.7393553705
,,,Rebecca,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Rowson_TheFillede,1794_Rowson_TheFillede,f,non,1794,rom,-0.3278324553,-0.4057820429,-0.2332532857,0.6415865722,0.2106861816,-0.1047626531,-0.3267285901,-1.1419706379,0.1793556639,-0.1278460374,0.114937541,0.9997754162,-0.2895126823,0.0454847611,0.950270212,0.3523094951,-0.424522433,0.4057031101,0.0614832686,-0.4050902713,-0.3267748174,0.0179112645,0.377230618,1.8195473595,-0.6884936001,1.9709129912,0.6630674631,-0.040819502,0.1623538761,-0.0721475594,-0.2606387363
,,,Mr. Valmont,M,f_M,All,Mixed,Chadwyck_1795_Fenwick_SecresyOrThe,1795_Fenwick_SecresyOrThe,f,non,1795,rom,0.945956346,-1.1383959106,1.0510829575,-0.4098380083,1.3308286763,-0.5766309856,0.2485191128,0.5669068524,-0.8522391539,0.6126038567,-1.842377696,-0.645998521,0.2920172232,-0.8537672579,-1.0635971293,-0.760208193,-1.1085980078,-1.3152417234,-0.3835288985,-0.2794519447,-0.1998146486,-0.4504169355,0.6470120759,-0.7618950853,-0.0343466195,-0.5447002283,0.0462083259,0.6117331427,-0.6631823348,-0.6686057136,-0.253245808
,,,Mr. Rooksby,M,f_M,All,Mixed,Chadwyck_1795_Rowson_Trialsofthe,1795_Rowson_Trialsofthe,f,non,1795,rom,2.5448409516,0.2966546398,-0.9852499367,-1.3820801767,2.626838954,0.6698878596,0.6063408721,1.4213455976,-0.6037041985,1.282197065,-0.6315991153,-0.773237349,0.1652437333,-0.0580916926,-1.1246346316,-0.5329983759,0.2060743927,-1.125705844,-1.0520724968,-1.4775366582,0.1611152405,-2.0399896173,0.6360100628,-0.1261654143,-0.6884936001,-1.1327632191,-0.2038719053,-0.3449257777,0.0402657536,-0.490843412,5.3745787732
,,,Lord Grondale,M,m_M,All,Male_Male,Chadwyck_1796_Bage_HermsprongorMan,1796_Bage_HermsprongorMan,m,non,1796,rom,-0.2356538999,0.6268998623,0.2984711219,-0.4555561103,-0.2222191304,0.4890049987,-0.5914547074,0.994126225,1.2262382189,-0.6249551925,0.9028188256,0.8251353391,0.0921649631,0.3612972409,0.4314059002,-0.0752745967,0.596015965,-0.9929223732,-0.5028754533,-0.9701189795,-0.6789613604,-0.3168023064,-0.4154146348,-0.6185879015,-0.6884936001,-0.4724405619,0.0128741441,-0.6743371325,1.2401861648,0.2214453461,0.3124755311
,,,Camilla,F,f_F,Female_Female,Female_Female,Chadwyck_1796_Burney_Camillaor,1796_Burney_CamillaorA,f,can,1796,rom,-0.4439215648,-0.0557347017,-0.2336087231,0.4697674557,1.3957644731,0.7446003456,-0.1646711666,-0.2875318928,-0.7544078389,-0.1327763307,-0.1437218145,-0.1415501406,1.308580188,0.514549408,0.4236532475,1.2038724307,-0.235971781,-0.248023949,-0.0537824059,-0.3386600017,-0.3712146863,0.1804829194,-0.325839817,0.2810838617,-0.6884936001,1.281487099,-0.8766608406,-0.7260838427,-0.7587149435,0.6649957767,0.086526502
,,,Mr. Montague,M,f_M,All,Mixed,Chadwyck_1796_Hays_MemoirsofEmma,1796_Hays_MemoirsofEmma,f,non,1796,rom,-0.3307670351,-0.6859700211,0.0621886384,0.6794637304,-0.487373634,-0.8282940964,-0.4836547927,-0.7147512654,-0.8525472865,-0.3369504054,-0.0388193328,-1.4696228369,-1.6141278322,-0.0298502211,-1.6512075117,-1.5946662007,0.0051056943,0.0693918215,0.5059498178,-0.0024436224,0.1654961095,-0.1894537374,-0.0220855606,-0.2350895513,3.2363882834,-0.895079105,0.8172898468,0.5352104544,-0.7408144946,-0.7341460912,-0.5565477018
,,,Henry,M,f_M,All,Mixed,Chadwyck_1796_Inchbald_NatureandArt,1796_Inchbald_NatureandArt,f,can,1796,rom,-0.3023036908,-0.3826196235,-0.6913140611,0.8628894611,0.6706480756,0.2845287213,0.0623474111,-1.1419706379,-0.5470774591,0.1016196364,0.6360073395,-0.8375067264,-0.351598834,-0.6485582933,0.0566714733,-0.6132015292,-0.3919062551,-0.6412241155,-0.0805670514,-0.3040202765,-0.6465649999,-0.0858794787,-0.5240000041,-0.4523066246,-0.0343466195,1.8530647939,1.6708940889,-0.2262638036,-0.4859573311,0.177535399,0.0167674518
,,,Antonia,F,m_F,All,Mixed,Chadwyck_1796_Lewis_TheMonk,1796_Lewis_TheMonk,m,can,1796,rom,-0.7984447202,-1.1398387577,-0.0444867264,1.3793944116,1.4038814477,-0.0811692364,-0.2632330614,-0.7147512654,-0.8501806873,-0.5169228413,0.0516739627,-0.7855526487,-0.0609851856,-0.077506291,-0.6846248507,-0.0058302415,-0.6911378757,0.7402166327,-0.3582284569,-0.9952723192,0.1447269304,-0.9480049076,-0.0490978163,-0.664083279,-0.0343466195,-0.0583274392,-0.2474364306,-0.035748195,-0.513783247,-0.5315701063,0.5711034805
,,,Eliza,F,f_F,Female_Female,Female_Female,Chadwyck_1797_Foster_TheCoquetteor,1797_Foster_TheCoquetteor,f,non,1797,rom,-0.4285243871,-1.2864422815,0.5668275668,0.8939893405,1.4228210551,-0.2030685557,-0.5257468626,1.8485649702,-0.437304648,-0.1428143705,-0.6433275069,-0.5406975532,-0.0505054891,-1.3594411163,0.2131649184,-0.8394821767,-0.9246886065,-0.7794312921,-0.5925544456,-0.4573555197,-0.5572893574,-1.1160363855,-0.7655183526,0.1571451936,-0.0343466195,0.6826513964,1.2707681768,-0.0351660028,-0.0780239732,-0.7089206936,0.6988394002
,,,Vivaldi,M,f_M,All,Mixed,Chadwyck_1797_Radcliffe_TheItalianor,1797_Radcliffe_TheItalianor,f,can,1797,rom,-0.8731946486,0.8625630295,-0.0445511647,-0.0025548069,-0.149166359,1.963593538,0.0338228048,0.1396874798,-0.1895067,-0.7417578991,-0.3326686768,0.7943898147,-0.0627671863,0.8171464284,0.9085067305,0.1560282799,-0.3343870789,-0.905350085,-0.4383113997,-0.5998083269,-0.6173368335,0.4982019987,0.1502857313,-0.6604471717,-0.6884936001,1.9735807377,-0.481685165,-1.7234944803,-0.3248084456,1.7646698521,0.4638960176
,,,Lady Aubrey,F,f_F,Female_Female,Female_Female,Chadwyck_1797_Robinson_WalsinghamorThe,1797_Robinson_WalsinghamorThe,f,can,1797,rom,-0.361483549,-1.3799950778,-0.403674446,1.456152711,0.9845044267,-0.8636842213,-0.3720858354,-1.1419706379,-0.4664955824,-0.503510347,-0.4395866189,-0.4805537715,-0.6378877176,-1.6977561091,0.1677235825,0.4165127672,-0.8509338478,-0.5329106207,-0.8825957133,-1.0983184634,-0.6366174582,-1.2208238426,-0.1951261594,-0.594409028,-0.6884936001,-0.591279957,-0.5608425203,0.61211226,-0.074254934,-1.2715444836,0.2346664413
,,,Dey,M,m_M,All,Male_Male,Chadwyck_1797_Tyler_TheAlgerineCaptive,1797_Tyler_TheAlgerineCaptive,m,non,1797,rom,2.4519958511,-3.0132372205,-0.6381286102,0.8551033284,0.5434821402,-2.3854595939,-0.8490688724,0.5669068524,-0.4644069401,2.5206390955,1.3133941273,-1.3290041256,-1.1876380706,1.4428402203,-3.1319921158,-2.3557613735,0.8609866423,-1.001541065,-1.0520724968,-1.7614545688,1.0982015414,-2.8282434888,1.190984899,-0.3517078464,-0.6884936001,-1.2344776183,1.0912121172,1.7636156912,0.4041036088,-3.2431208055,-1.8422633477
,,,Wieland,M,m_M,All,Male_Male,Chadwyck_1798_Brown_Wieland1798,1798_Brown_Wieland1798,m,can,1798,rom,0.7308999632,1.5421967788,-0.827448818,-1.1359996177,-1.2395466135,-0.3918158887,-0.8490688724,0.994126225,-1.1035355868,-0.4392482445,-1.8542766149,-1.3240976554,-1.3154030119,-0.5614821052,-2.9483895634,-1.7675787623,1.1032146767,-1.1893533381,-1.0520724968,1.6935469841,0.4527593964,-0.8013049885,0.3515271531,0.1847158643,-0.0343466195,-1.171981848,0.3540181932,-0.0002869332,-0.7940992741,-0.699223562,0.1615656053
,,,Juliana,F,f_F,Female_Female,Female_Female,Chadwyck_1798_Foster_TheBoardingSchool,1798_Foster_TheBoardingSchool,f,non,1798,rom,0.216749809,-1.156198854,-0.6715898516,1.0547740991,-1.1583768675,-0.8282940964,-0.8490688724,0.5669068524,-0.2798697919,0.1104765628,-1.3338605934,-1.0558819673,-0.4621656132,-0.5532030661,-1.7069201642,-2.2158906905,2.955323747,-1.5712382678,-1.0520724968,-1.0893108038,-0.8596395442,-1.0963054344,3.0200567217,-0.7811411633,-0.6884936001,-1.1824896741,1.6718686964,0.3858929313,0.0632989249,-1.1826030396,0.1166596409
,,,Rachel,F,f_F,Female_Female,Female_Female,Chadwyck_1798_Rowson_ReubenandRachel,1798_Rowson_ReubenandRachel,f,non,1798,rom,-0.4451050451,-0.3514837424,-0.4536326499,0.8046780696,0.1673956504,0.2412741241,-0.322203321,-0.2875318928,0.1148034052,-0.3472474534,0.2367917956,1.1793685743,-0.2774544501,0.5549654442,1.0813188136,0.4127162244,-0.4905726338,0.4501996623,0.0711305038,-0.3306452971,-0.2684103249,-0.9258981609,0.6631204856,0.2412043824,-0.0343466195,0.2951295348,-0.1879520894,-0.3451309748,0.3817358332,-0.2713167538,0.8028144009
,,,Maria,F,f_F,Female_Female,Female_Female,Chadwyck_1798_Shelley_TheWrongsof,1798_Shelley_TheWrongsof,f,can,1798,rom,-1.0083868804,0.1278851257,-0.7562920816,1.0107103465,-0.0030608162,1.8416942188,-0.8490688724,-0.2875318928,-0.8532187374,-0.9045741103,-0.1936232017,-0.9485546274,-0.4654943398,2.2342017704,-1.1200502601,-1.2571625086,-0.388229962,0.1579710352,-0.7607249045,-0.6815355043,-0.8596395442,-0.4596861104,0.3898843854,0.3124202324,0.6198003611,0.2702972633,1.4918425891,-1.9764145283,-0.661350861,1.1967187998,1.3176779047
,,,Clarice,F,m_F,All,Mixed,Chadwyck_1799_Brown_EdgarHuntlyvolume,1799_Brown_EdgarHuntlyvolume,m,can,1799,rom,1.1936351134,2.4886575956,-1.0664325586,-1.9924681379,0.9439195537,-0.1283560697,-0.8490688724,-0.7147512654,-1.1035355868,0.9014927909,-2.9143043697,-1.4186536907,-1.5238811535,0.0236450912,-3.7417744764,-2.4119827947,5.7855762776,-1.5712382678,-1.0520724968,-0.6586304122,-0.8596395442,-2.8282434888,-1.3553701497,-0.6192652985,1.2739473417,-1.2172951417,2.6349660892,-0.2333864911,-0.1933564563,-1.4978730473,-1.8422633477
,,,Ormond,M,m_M,All,Male_Male,Chadwyck_1799_Brown_OrmondorThe,1799_Brown_OrmondorThe,m,can,1799,rom,3.4969774204,-1.634085774,0.4026145776,-1.416836874,-0.2059851812,-0.8361585686,2.8159613485,0.994126225,-0.8453445443,1.9275197952,-2.8925756439,-0.2308759892,1.2385923749,-0.853230432,-1.4654805723,-1.1121763293,-1.1092431779,-1.3410956791,-0.4510473838,-1.3741492927,-0.4641816188,-1.4031222676,2.759269667,-0.3416754085,-0.0343466195,-0.373244001,0.1442342794,1.8904760551,-0.3743749904,-1.3404113216,0.5299425258
,,,Marguerite,F,m_F,All,Mixed,Chadwyck_1799_Godwin_StLeonA,1799_Godwin_StLeonA,m,can,1799,rom,0.4069794821,-0.3835550803,-0.4409257232,0.245112547,1.4038814477,0.2963254296,0.2442405836,-0.7147512654,-0.6967707164,0.3139770752,-1.0194126051,-1.0482560577,-0.9488260962,-0.6151249374,-0.2156716435,-1.7061884297,-1.1953814599,-0.3440574699,-1.0520724968,-1.4144986807,0.6739502882,-0.2623063852,1.1378505703,-0.3259750955,-0.0343466195,-0.8728996068,-0.5393510988,-0.1623749026,-0.5736018976,0.0994101432,0.1516349668
,,,William,M,f_M,All,Mixed,Chadwyck_1799_Hays_TheVictimof,1799_Hays_TheVictimof,f,non,1799,rom,-0.5068689278,-1.452007991,0.3703561851,1.1747614503,1.2036627409,-0.5333763885,0.0051933893,0.5669068524,-0.4515816122,-0.4910643143,-0.0546435967,-0.9241799972,-0.8451697882,-0.8586647599,-0.9537647232,-1.6196348707,-0.6187891048,0.6370528627,-0.4450169089,-1.9335787868,-0.8596395442,-0.9775605396,-0.8358796055,-0.0729391855,-0.0343466195,-0.4733816249,1.4895556659,0.4740339625,-0.1324115257,-0.8958436305,0.2351837713
,,,Mervyn,M,m_M,All,Male_Male,Chadwyck_1800_Brown_ArthurMervynor,1800_Brown_ArthurMervynor,m,can,1800,rom,-0.2532996071,-1.467638679,0.4105104644,0.9923386911,0.2377427636,0.1547649298,-0.1624441211,3.5574424605,-0.3175104238,-0.5978305266,0.3879018847,-0.8925494791,-0.8959698683,0.5696940343,-0.429551387,-1.8861524209,0.062025712,-0.3100940712,-1.0520724968,-0.6257505053,-0.378073812,-1.8365692931,0.5235933815,-0.2864170969,-0.6884936001,-0.9084319249,0.4494280699,-0.2033091333,0.2475112675,-0.7885535212,3.0981451005
,,,miss Clifford,F,m_F,All,Mixed,Chadwyck_1800_Moore_MordauntSketchesof,1800_Moore_MordauntSketchesof,m,non,1800,rom,0.8768074546,-1.3718123091,0.6267668021,0.0401587566,3.8903813334,-0.8440230408,-0.8490688724,0.5669068524,-0.9674558349,1.2360931122,-0.8975824202,0.1376218915,1.9103182066,0.3226893546,-2.6749232949,-1.1827228991,0.8379612528,-1.086051118,-1.0520724968,-1.2029562697,-0.025934085,-1.8625293525,0.5421753841,-0.5328264592,-0.0343466195,-0.9896519019,-0.5780821305,0.3998093228,-0.3523663263,-1.5736786438,1.6459620663
,,,miss Wilmot,F,m_F,All,Mixed,Chadwyck_1801_Brown_ClaraHowardIn,1801_Brown_ClaraHowardIn,m,can,1801,rom,2.3050191262,-1.2803034452,-0.9290959597,-0.1232834658,3.005631102,-0.4704606108,-0.8490688724,0.994126225,-0.9230409263,2.228440208,-2.8170884263,-0.6171518409,0.2264975811,-1.1434863092,-2.787084177,-1.8322012417,2.2506433185,-1.5712382678,-1.0520724968,-1.6401562824,-0.8596395442,-1.6896545496,0.0828488322,-0.7148955983,1.9280943223,-0.9302694531,1.773220061,0.0692950243,-0.3620836191,-1.1993408474,1.6191392121
,,,Jane,F,m_F,All,Mixed,Chadwyck_1801_Brown_JaneTalbot,1801_Brown_JaneTalbot,m,can,1801,rom,0.1042955432,-2.3318526578,0.4963382725,1.321281614,1.1062590457,0.272732013,-0.8490688724,-0.7147512654,-0.766473508,0.2150230803,0.4575061376,0.036630047,1.8843104248,1.2615332457,-1.5437827758,-1.3817387425,-0.2606010582,-0.4696048037,-1.0520724968,-0.8877474315,-0.5154658044,-1.7651230258,-0.4601098567,0.2717514993,-0.0343466195,-0.7455072268,0.3395188816,-0.5882544747,-0.1933564563,-0.6620068224,2.9361797614
,,,Belinda,F,f_F,Female_Female,Female_Female,Chadwyck_1801_Edgeworth_BelindaByMaria,1801_Edgeworth_BelindaByMaria,f,can,1801,rom,-0.1672970183,-0.1843052257,0.9688511399,-0.2947664369,2.2886316791,0.38676686,-0.0886056065,-0.7147512654,0.70025034,-0.1633401151,1.0400559316,1.5938874146,4.701622292,0.8297838434,0.108549882,0.6269591736,0.9874534459,-0.627645477,-0.338744309,-0.9434016043,-0.2196164584,0.5106410325,0.1429673136,-0.7355853053,-0.0343466195,0.7553187011,-0.5149172921,-0.3784036057,0.50325339,0.5515801822,-0.2684384596
Austen,Watsons,,Emma,F,f_F,Female_Female,Female_Female,Chadwyck_1805_Austen_TheWatsonsin,1805_Austen_TheWatsonsin,f,can,1805,rom,-0.1742022623,-1.0487498757,1.134605516,0.2359823165,0.6544141264,1.4406061361,-0.1000236737,0.1396874798,-0.0745571958,-0.1605278709,-0.1643901875,-0.7711506901,-0.8711480235,0.9049164505,0.1945723401,-1.5951075223,0.5948572212,-0.6540424948,-0.5197863396,-1.6928527094,-0.1591802432,-0.1236774447,-0.4443574579,0.9267495978,-0.6884936001,1.4391110177,6.2413946092,-1.315467551,-0.0330409237,1.0527509102,0.6978236002
,,,Mary,F,m_F,All,Mixed,Chadwyck_1805_Godwin_FleetwoodOrThe,1805_Godwin_FleetwoodOrThe,m,can,1805,rom,-0.4510341527,0.1542916957,-0.1001782439,0.2500104925,0.5597160894,0.8271773038,-0.6244212293,0.994126225,-0.6406310591,-0.2839879809,-0.4851240598,-0.7945907097,-0.3836077545,0.3115588885,0.0935756385,-1.2869057972,-1.350559199,-0.2416943056,-0.3336967085,-0.2874953032,-0.3869681155,0.740737026,0.2839718943,-0.3411211767,-0.6884936001,-0.6608565659,-0.2991436833,-0.9870105127,-0.8184037221,1.0059035651,-0.1807943412
,,,Adeline,F,f_F,Female_Female,Female_Female,Chadwyck_1805_Opie_AdelineMowbrayOr,1805_Opie_AdelineMowbrayOr,f,can,1805,rom,-0.4999956605,-0.2273101558,0.0344865136,0.4810628508,0.8411045422,0.9923312202,-0.2444893369,0.5669068524,-0.5737192189,-0.3712555072,0.0665879878,-0.1364943582,1.2038127606,-1.1690370997,0.475209941,0.4479316746,-0.1389229286,-0.124676109,-0.2520791021,-0.684586518,-0.304023009,0.1074424385,-0.3284732421,1.0034468435,-0.6884936001,3.7395650831,-0.0180007887,-0.9778827515,-0.5681587908,0.8204273292,0.2638371584
,,,Victoria,F,f_F,Female_Female,Female_Female,Chadwyck_1806_Dacre_ZofloyaorThe,1806_Dacre_ZofloyaorThe,f,non,1806,rom,-0.3952307031,-0.3749250175,-0.3960860035,0.7557160086,0.7545234798,1.1220950116,-0.6160439898,-1.1419706379,-0.7634176799,0.179978722,0.3900816989,-0.562749118,0.4190391443,-2.1414075658,-0.3420298955,0.0004708102,-0.1576517384,1.056229345,-0.1206171445,-0.4905526174,-0.1650513386,0.0534810575,1.0890609115,0.9486923574,1.2739473417,2.6683911084,0.0864440242,-1.2445196996,-0.7294966439,0.8940788522,0.3722832195
