,X,journaltitle,pub.year,Gender,Institutional_Affiliation,PhD,author,title,X.1
2560,15511,Critical Inquiry,2015,M,School of Visual Arts,�cole des Hautes �tudes en Sciences Sociales,Thierry de Duve,Aesthetics as the Transcendental Ground of Democracy�,
2091,5132,New Literary History,2013,M,NYU,�cole Normale Sup�rieure,Philippe Roger,Five French Critics,
4494,11003,New Literary History,2013,M,University of Nanterre,�cole Normale Sup�rieure,François Cusset,Unthinkable Readers: The Political Blindspot of French Literature,
1,15102,New Literary History,1998,M,Aarhus University,Aarhus University,Svend Erik Larsen,Benjamin: A Literary Critic?,
3,16101,New Literary History,2004,M,Aarhus University,Aarhus University,Svend Erik Larsen,"Landscape, Identity, and War",
1930,4892,New Literary History,2008,M,Nicholas Copernicus University,Adam Mickiewicz University,Andrzej Szahaj,Richard Rorty: Memories,
3634,12104,Representations,1995,M,University of Bucharest,Akademie der Schönen Künste in Bukarest,Andrei Plesu,Intellectual Life Under Dictatorship,
1243,1037,Critical Inquiry,2004,M,Humboldt-Universität Berlin,Albert Ludwigs Universität Freiburg,Friedrich Kittler,"Universities: Wet, Hard, Soft, and Harder",
3747,6981,Critical Inquiry,1993,M,University of Chicago,Albert Ludwigs Universität Freiburg,Michael Geyer,Multiculturalism and the Politics of General Education,
972,25711,New Literary History,1980,M,Georgia State University,Anglicum University (Pontifical University of St. Thomas Aquinas),Angel Medina,Discussion: On Narrative and Narratives,
973,25611,New Literary History,1983,M,Georgia State University,Anglicum University (Pontifical University of St. Thomas Aquinas),Angel Medina,Edwardian Couples: Aesthetics and Moral Experience in The Golden Bowl,
67,15491,Critical Inquiry,2015,M,Bakersfield University,Arizona State University,Matthew Garrett,Subterranean Gratification: Reading after the Picaroﾠ,
1440,11,PMLA,2009,M,Kansas State University,Arizona State University,Salvador A. Oropesa,Obscuritas and the Closet: Queer Neobaroque in Mexico,
5097,12712,New Literary History,1992,M,University of Virginia,Arizona State University,Jeffrey L. Hantman,Caliban's Own Voice: American Indian Views of the Other in Colonial Virginia,
359,12512,New Literary History,1980,M,Columbia,Austin Riggs Center,Roy Schafer,Action and Narration in Psychoanalysis,
64,7381,Critical Inquiry,1995,M,Australian National University,Australian National University,Nicholas Thomas,"Kiss the Baby Goodbye: ""Kowhaiwhai"""" and Aesthetics in Aotearoa New Zealand""",
63,13104,Representations,1992,M,Australian National University,Australian National University,Dipesh Chakrabarty,"Postcoloniality and the Artifice of History: Who Speaks for ""Indian"" Pasts?",
1623,4213,New Literary History,2005,M,Murdoch University,Australian National University,Vijay Mishra,What Was Postcolonialism?,
1625,4202,New Literary History,2009,M,Murdoch University,Australian National University,Vijay Mishra,Rushdie-Wushdie: Salman Rushdie's Hobson-Jobson,
3754,7871,Critical Inquiry,1996,F,University of Chicago,Australian National University,Nancy D. Munn,Excluded Spaces: The Figure in the Australian Aboriginal Landscape,
3794,1063,Critical Inquiry,2004,M,University of Chicago,Australian National University,Dipesh Chakrabarty,Romantic Archives,
3795,1064,Critical Inquiry,2004,M,University of Chicago,Australian National University,Dipesh Chakrabarty,Where Is the Now?,
3835,13001,Critical Inquiry,2009,M,University of Chicago,Australian National University,Dipesh Chakrabarty,The Climate of History,
3875,15181,Critical Inquiry,2014,M,University of Chicago,Australian National University,Dipesh Chakrabarty,Climate and Capital,
3868,9132,New Literary History,2012,M,University of Chicago,Australian National University,Dipesh Chakrabarty,Postcolonial Studies and the Challenge of Climate Change,
4469,5301,Critical Inquiry,1988,F,University of Missouri,Barnard College,Naomi Scheman,Missing Mothers/Desiring Daughters: Framing the Sight of Women,
3425,8511,Critical Inquiry,1998,F,UC Santa Cruz,Bocconi University,Teresa de Lauretis,The Stubborn Drive,
3427,1021,Critical Inquiry,2003,F,UC Santa Cruz,Bocconi University,Teresa de Lauretis,Becoming Inorganic,
3430,12541,Critical Inquiry,2008,F,UC Santa Cruz,Bocconi University,Teresa de Lauretis,"Nightwood and the ""Terror of Uncertain Signs""""""",
5313,12,PMLA,1975,F,"University of Wisconsin, Milwaukee",Bocconi University,Teresa de Lauretis,Narrative Discourse in Calvino: Praxis or Poiesis?,
820,4341,Critical Inquiry,1986,M,Eastern Illinois University,Boston College,Michael Leddy,Validity and Reinterpretation,
3373,7231,Critical Inquiry,1994,F,UC Santa Barbara,Boston College,Avery Gordon,White Philosophy,
3385,13,PMLA,2008,F,UC Santa Barbara,Boston College,Avery F. Gordon,Methodologies of Imprisonment,
4320,10641,New Literary History,2004,F,"University of Massachusetts, Boston",Boston College,Kathleen M. Sands,"Tragedy, Theology, and Feminism in the Time after Time",
118,24310,Critical Inquiry,1981,M,Boston University,Boston University,"Frederic K. Hargreaves, Jr.",The Concept of Private Meaning in Modern Criticism,
341,14,PMLA,2014,M,College of Wooster,Boston University,John Levi Barnard,"Ancient History, American Time: Chesnutt’s Outsider Classicism and the Present Past",
997,14104,Representations,2000,F,Hamilton College,Boston University,Catherine Gunther Kodat,Saving Private Property: Steven Spielberg's American Dream Works,
1829,15,PMLA,2014,F,Oxford,Boston University,Reena Sastri,Louise Glück’s Twenty-First-Century Lyric,
2608,16,PMLA,2009,F,St. Lawrence University,Boston University,Sarah Gates,"Intertextual Estella: Great Expectations, Gender, and Literary Tradition",
3314,8062,New Literary History,2014,F,UC Riverside,Boston University,Georgia Warnke,Hermeneutics and Social Identity,
5415,17,PMLA,2000,F,Wayne State University,Boston University,Michele Valerie Ronnick,William Sanders Scarborough: The First African American Member of the Modern Language Association,
1737,23,PMLA,2007,F,Brandeis,Brandeis,Holly Jackson,Identifying Emma Dunham Kelley,
509,15112,New Literary History,2008,M,Connecticut College,Brandeis,David Greven,"Masculinist Theory and Romantic Authorship, or Hawthorne, Politics, Desire",
568,7681,Critical Inquiry,1996,F,Cornell,Brandeis,Hortense J. Spillers,All the Things You Could Be by Now If Sigmund Freud's Wife Was Your Mother: Psychoanalysis and Race,
746,6121,Critical Inquiry,1991,F,Duke,Brandeis,Barbara Herrnstein Smith,Belief and Resistance: A Symmetrical Account,
741,19,PMLA,1989,F,Duke,Brandeis,Barbara Herrnstein Smith,Presidential Address 1988. Limelight: Reflections on a Public Year,
773,18,PMLA,2000,F,Duke,Brandeis,Barbara Herrnstein Smith,Netting Truth,
