"source","target","weight","type"
"see","beguil",2,"undirected"
"feel","beguil",4,"undirected"
"think","beguil",4,"undirected"
"look","beguil",3,"undirected"
"mind","beguil",3,"undirected"
"see","cheer",45,"undirected"
"feel","cheer",46,"undirected"
"think","cheer",74,"undirected"
"look","cheer",72,"undirected"
"mind","cheer",27,"undirected"
"see","conduct",74,"undirected"
"feel","conduct",87,"undirected"
"think","conduct",82,"undirected"
"look","conduct",26,"undirected"
"mind","conduct",44,"undirected"
"see","dinner",75,"undirected"
"feel","dinner",21,"undirected"
"think","dinner",42,"undirected"
"look","dinner",36,"undirected"
"mind","dinner",9,"undirected"
"see","employ",31,"undirected"
"feel","employ",22,"undirected"
"think","employ",41,"undirected"
"look","employ",22,"undirected"
"mind","employ",28,"undirected"
"see","endeavour",43,"undirected"
"feel","endeavour",48,"undirected"
"think","endeavour",92,"undirected"
"look","endeavour",36,"undirected"
"mind","endeavour",51,"undirected"
"see","friend",271,"undirected"
"feel","friend",232,"undirected"
"think","friend",278,"undirected"
"look","friend",192,"undirected"
"mind","friend",95,"undirected"
"see","hippolitus",4,"undirected"
"feel","hippolitus",3,"undirected"
"think","hippolitus",3,"undirected"
"look","hippolitus",2,"undirected"
"mind","hippolitus",7,"undirected"
"see","hope",356,"undirected"
"feel","hope",270,"undirected"
"think","hope",359,"undirected"
"look","hope",234,"undirected"
"mind","hope",142,"undirected"
"see","hour",152,"undirected"
"feel","hour",129,"undirected"
"think","hour",171,"undirected"
"look","hour",92,"undirected"
"mind","hour",74,"undirected"
"see","julia",59,"undirected"
"feel","julia",30,"undirected"
"think","julia",50,"undirected"
"look","julia",37,"undirected"
"mind","julia",36,"undirected"
"see","madam",99,"undirected"
"feel","madam",61,"undirected"
"think","madam",94,"undirected"
"look","madam",80,"undirected"
"mind","madam",32,"undirected"
"see","paint",16,"undirected"
"feel","paint",6,"undirected"
"think","paint",12,"undirected"
"look","paint",12,"undirected"
"mind","paint",5,"undirected"
"see","perceiv",98,"undirected"
"feel","perceiv",83,"undirected"
"think","perceiv",93,"undirected"
"look","perceiv",123,"undirected"
"mind","perceiv",37,"undirected"
"see","reserv",17,"undirected"
"feel","reserv",20,"undirected"
"think","reserv",18,"undirected"
"look","reserv",17,"undirected"
"mind","reserv",10,"undirected"
"see","till",230,"undirected"
"feel","till",111,"undirected"
"think","till",203,"undirected"
"look","till",150,"undirected"
"mind","till",70,"undirected"
"see","time",616,"undirected"
"feel","time",468,"undirected"
"think","time",710,"undirected"
"look","time",487,"undirected"
"mind","time",256,"undirected"
"see","usual",92,"undirected"
"feel","usual",82,"undirected"
"think","usual",91,"undirected"
"look","usual",95,"undirected"
"mind","usual",45,"undirected"
"see","aggrav",8,"undirected"
"feel","aggrav",5,"undirected"
"think","aggrav",4,"undirected"
"look","aggrav",1,"undirected"
"mind","aggrav",4,"undirected"
"see","appar",51,"undirected"
"feel","appar",30,"undirected"
"think","appar",34,"undirected"
"look","appar",39,"undirected"
"mind","appar",10,"undirected"
"see","confid",66,"undirected"
"feel","confid",103,"undirected"
"think","confid",70,"undirected"
"look","confid",54,"undirected"
"mind","confid",32,"undirected"
"see","dare",74,"undirected"
"feel","dare",64,"undirected"
"think","dare",83,"undirected"
"look","dare",72,"undirected"
"mind","dare",23,"undirected"
"see","denial",4,"undirected"
"feel","denial",5,"undirected"
"think","denial",2,"undirected"
"look","denial",7,"undirected"
"mind","denial",3,"undirected"
"see","distress",64,"undirected"
"feel","distress",61,"undirected"
"think","distress",55,"undirected"
"look","distress",64,"undirected"
"mind","distress",35,"undirected"
"see","mourn",29,"undirected"
"feel","mourn",26,"undirected"
"think","mourn",51,"undirected"
"look","mourn",63,"undirected"
"mind","mourn",21,"undirected"
"see","pain",150,"undirected"
"feel","pain",189,"undirected"
"think","pain",175,"undirected"
"look","pain",105,"undirected"
"mind","pain",74,"undirected"
"see","rebuk",4,"undirected"
"feel","rebuk",9,"undirected"
"think","rebuk",3,"undirected"
"look","rebuk",11,"undirected"
"mind","rebuk",3,"undirected"
"see","request",48,"undirected"
"feel","request",34,"undirected"
"think","request",31,"undirected"
"look","request",28,"undirected"
"mind","request",12,"undirected"
"see","s",2330,"undirected"
"feel","s",1815,"undirected"
"think","s",2448,"undirected"
"look","s",1965,"undirected"
"mind","s",1066,"undirected"
"see","sever",79,"undirected"
"feel","sever",50,"undirected"
"think","sever",64,"undirected"
"look","sever",56,"undirected"
"mind","sever",28,"undirected"
"see","sharpli",7,"undirected"
"feel","sharpli",6,"undirected"
"think","sharpli",5,"undirected"
"look","sharpli",16,"undirected"
"mind","sharpli",2,"undirected"
"see","solicit",16,"undirected"
"feel","solicit",11,"undirected"
"think","solicit",15,"undirected"
"look","solicit",3,"undirected"
"mind","solicit",7,"undirected"
"see","symphath",1,"undirected"
"see","urg",29,"undirected"
"feel","urg",33,"undirected"
"think","urg",41,"undirected"
"look","urg",20,"undirected"
"mind","urg",12,"undirected"
"see","want",236,"undirected"
"feel","want",120,"undirected"
"think","want",203,"undirected"
"look","want",139,"undirected"
"mind","want",52,"undirected"
"see","abat",5,"undirected"
"feel","abat",10,"undirected"
"think","abat",5,"undirected"
"look","abat",7,"undirected"
"mind","abat",4,"undirected"
"see","anxieti",66,"undirected"
"feel","anxieti",75,"undirected"
"think","anxieti",51,"undirected"
"look","anxieti",62,"undirected"
"mind","anxieti",36,"undirected"
"see","apart",67,"undirected"
"feel","apart",48,"undirected"
"think","apart",39,"undirected"
"look","apart",63,"undirected"
"mind","apart",22,"undirected"
"see","audienc",5,"undirected"
"think","audienc",3,"undirected"
"look","audienc",6,"undirected"
"mind","audienc",1,"undirected"
"see","confer",13,"undirected"
"feel","confer",11,"undirected"
"think","confer",11,"undirected"
"look","confer",7,"undirected"
"mind","confer",3,"undirected"
"see","door",333,"undirected"
"feel","door",87,"undirected"
"think","door",161,"undirected"
"look","door",249,"undirected"
"mind","door",60,"undirected"
"see","everi",326,"undirected"
"feel","everi",298,"undirected"
"think","everi",354,"undirected"
"look","everi",225,"undirected"
"mind","everi",157,"undirected"
"see","long",399,"undirected"
"feel","long",254,"undirected"
"think","long",401,"undirected"
"look","long",311,"undirected"
"mind","long",141,"undirected"
"see","morn",245,"undirected"
"feel","morn",109,"undirected"
"think","morn",164,"undirected"
"look","morn",132,"undirected"
"mind","morn",57,"undirected"
"see","obtain",33,"undirected"
"feel","obtain",25,"undirected"
"think","obtain",26,"undirected"
"look","obtain",9,"undirected"
"mind","obtain",17,"undirected"
"see","permiss",15,"undirected"
"feel","permiss",5,"undirected"
"think","permiss",7,"undirected"
"look","permiss",5,"undirected"
"mind","permiss",2,"undirected"
"see","privat",34,"undirected"
"feel","privat",21,"undirected"
"think","privat",27,"undirected"
"look","privat",14,"undirected"
"mind","privat",11,"undirected"
"see","therefor",91,"undirected"
"feel","therefor",83,"undirected"
"think","therefor",107,"undirected"
