id,label,author,lastname,firstname,year,year_adj,decade_birth,decade_adj,generation,gender,ethnicity,nationality,movement,movement2,poets.org,movement_note,lion.movement.1,lion.movement.2,lion.movement.3,lion.period.1,lion.period.2,lion.period.3,poets.org.1,poets.org.2,poets.org.3,poetryfoundation
1,Adams,AdamsArthurHenry,Adams,ArthurHenry,1872,1907,1870,1900,,M,,NewZealander/Oceanian,CasualsClub,,,,,,,,,,,,,
2,Agoos,AgoosJulie,Agoos,Julie,1956,1991,1950,1990,,F,,American/NorthAmerican,AmericanConfessional,Postwar,,,,,,,,,,,,
3,Akhmatova,AkhmatovaAnnaAndreevna,Akhmatova,AnnaAndreevna,1889,1924,1880,1920,,F,,Russian/European,Modernism,Inter-War,,,,,,,,,,,,
4,Alexander,AlexanderPamela,Alexander,Pamela,1948,1983,,1980,1980_2010,F,,American,AmericanConfessional,,,,,,,AmericanConfessional,,Postwar,,,,
5,Ali,AliAghaShahid,Ali,ShahidAli,1949,1984,,1980,1980_2010,M,,Indian/SouthAsian/Asian,AmericanConfessional,,,,,,,AmericanConfessional,,Postwar,,,,
6,Allberry,AllberryDebra,Allberry,Debra,1957,1992,1950,1990,,F,,American/NorthAmerican,Postwar,,,,,,,,,,,,,
7,Allen,AllenHervey,Allen,Hervey,1889,1924,,1920,1920_1950,M,,American,Symbolism,,,,,,,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
8,Allman,AllmanJohn,Allman,John,1935,1970,,1970,1950_1980,M,,American,AmericanConfessional,,,,,,,AmericanConfessional,,Postwar,,,,
9,Allnutt,AllnuttGillian,Allnutt,Gillian,1949,1984,,1980,1980_2010,F,,British/English,Postwar,,,,,,,,,Postwar,,,,
10,Ammons,AmmonsAR,Ammons,AR,1926,1961,,1960,1950_1980,M,,American,AmericanConfessional,,,,,,,AmericanConfessional,,Postwar,,,,
11,Ansel,AnselTalvikki,Ansel,Talvikki,1962,1997,,1990,1980_2010,F,,,AmericanConfessional,,,,,,,AmericanConfessional,,Postwar,,,,
12,Apollinaire,ApollinaireGuillaume,Apollinaire,Guillaume,1880,1915,1880,1910,,M,,French/European,Modernism,Surrealism,,,,,,,,,,,,
13,Armitage,ArmitageSimon,Armitage,Simon,1963,1998,,1990,1980_2010,M,,British/English,Postwar,,,,,,,,,Postwar,,,,
14,Armstrong,ArmstrongPeter,Armstrong,Peter,1957,1992,1950,1990,,M,,British/English/European,Postwar,,,,,,,,,,,,,
15,Arnold,ArnoldCraig,Arnold,Craig,1967,2002,,2000,1980_2010,M,,American,Lesbian/Gay,,,,Lesbian/Gay,,,AmericanConfessional,,,,,,
16,Ashcroft,AshcroftCliff,Ashcroft,Cliff,1963,1998,1960,1990,,M,,British/English/European,Postwar,,,,,,,,,,,,,
17,Auden,AudenWHWystanHugh,Auden,WHWystanHugh,1907,1942,1900,1940,,M,,American/British/English/European/NorthAmerican,Lesbian/Gay,,,,,,,,,,,,,
18,Baczynski,BaczynskiKrzysztofKamil,Baczynski,KrzysztofKamil,1921,1956,1920,1950,,M,,Polish/European,Modernism,,,,,,,,,,,,,
19,Banks,BanksTheodoreHoward,Banks,TheodoreHoward,1895,1930,1890,1930,,M,,American/NorthAmerican,AmericanNaturalisticSymbolistic,,,,,,,,,,,,,
20,Baraka,BarakaImamuAmiri,Baraka,Amiri,1934,1969,,1960,1950_1980,M,African-American,American,BlackArts,,,,Beat,BlackArts,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
21,Barker,BarkerGeorge,Barker,George,1913,1948,1910,1940,,M,,British/English/European,Postwar,,,,,,,,,,,,,
22,Barker2,BarkerShirley,Barker,Shirley,1911,1946,,1940,1920_1950,F,,British/English,Postwar,,,,,,,,,Postwar,,,,
23,Barnett,BarnettAnthony,Barnett,Anthony,1941,1976,1940,1970,,M,,British/English/European,Postwar,,,,,,,,,,,,,
24,Beardsley,BeardsleyAubrey,Beardsley,Aubrey,1872,1907,1870,1900,,M,,British/English/European,Decadent,Lesbian/Gay,,,,,,,,,,,,
25,Beatty,BeattyJan,Beatty,Jan,1952,1987,1950,1980,,F,,American/NorthAmerican,AmericanConfessional,Postwar,,,,,,,,,,,,
26,Becker,BeckerRobin,Becker,Robin,1951,1986,,1980,1980_2010,F,,American,AmericanConfessional,,,,,,,AmericanConfessional,,Postwar,,,,
27,Begley,BegleyT,Begley,T,1956,1991,1950,1990,,F,,American/NorthAmerican,AmericanConfessional,Postwar,,,,,,,,,,,,
28,Bell,BellMartin,Bell,Martin,1918,1953,,1950,1950_1980,M,,British/English,Postwar,,,,,,,,,,,,,
29,Bellinger,BellingerAlfredRaymond,Bellinger,AlfredRaymond,1893,1928,1890,1920,,M,,American/NorthAmerican,AmericanNaturalisticSymbolistic,Modernism,,,,,,,,,,,,
30,Belloc,BellocHilaire,Belloc,Hilaire,1870,1905,1870,1900,,M,,British/English/French/European,Edwardian,Inter-War,,,,,,,,,,,,
31,Bensko,BenskoJohn,Bensko,John,1949,1984,,1980,1980_2010,M,,American,AmericanConfessional,,,,,,,AmericanConfessional,,Postwar,,,,
32,Bhatt,BhattSujata,Bhatt,Sujata,1956,1991,,1990,1980_2010,F,,Indian/SouthAsian/Asian,Postcolonialism,,,,Postcolonialism,,,Postwar,,,,,,
33,Bibb,BibbEloiseAEloiseAlberta,Bibb,EloiseAEloiseAlberta,1878,1913,1870,1910,,F,African-American,American/NorthAmerican,AmericanRealistic,,,,,,,,,,,,,
34,Binyon,BinyonLaurence,Binyon,Laurence,1869,1904,,1900,1890_1920,M,,British/English,FirstWorldWarPoets,,,,FirstWorldWarPoets,Modernism,,Inter-War,Modernist,,,,,
35,Bishop,BishopJohnPeale,Bishop,JohnPeale,1892,1927,,1920,1920_1950,M,,,Modernism,,,,,,,AmericanConformityandCriticism,Modernist,,,,,
36,Blake,BlakeElizabethJessup,Blake,ElizabethJessup,1894,1929,,1920,1920_1950,F,,American/Lebanese/MiddleEastern,Modernism,,,,,,,AmericanConfessional,AmericanConformityandCriticism,Modernist,,,,
37,Blanco,BlancoRichard,Blanco,Richard,1968,2003,,2000,1980_2010,M,,American/Cuban/Caribbean/LatinAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
38,Bland,BlandPeter,Bland,Peter,1934,1969,,1960,1950_1980,M,,British/English/NewZealander/Oceanian,Postcolonialism,,,,Postcolonialism,,,Postwar,,,,,,
39,Boake,BoakeBarcroftHenry,Boake,BarcroftHenry,1866,1901,1860,1900,,M,,Australian/Oceanian,Victorian,,,,,,,,,,,,,
40,Bolt,BoltThomas,Bolt,Thomas,1959,1994,,1990,1980_2010,M,,American,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
41,Bontemps,BontempsArnaWendell,Bontemps,ArnaWendell,1902,1937,1900,1930,,M,African-American,American/NorthAmerican,HarlemRenaissance,ChicagoRenaissance,,,,,,,,,,,,
42,Bowers,BowersMildred,Bowers,Mildred,1901,1936,,1930,1920_1950,F,,American,Symbolism,,,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
43,Boyle,BoyleCharles,Boyle,Charles,1951,1986,1950,1980,,M,,British/English/European,Postwar,,,,,,,,,,,,,
44,Bradley,BradleyGeorge,Bradley,George,1953,1988,,1980,1980_2010,M,,American,AmericanConfessional,,,,,,,AmericanConfessional,,Postwar,,,,
