pos,hp,all,fish.odds,fish.p
PRP,5464,1080299,1.0946804947,1.66230441684194e-10
NNS,5454,1063713,1.1105885671,1.5556094383106e-13
NNP,4868,656509,1.6301363558,1.61735333976024e-208
VBZ,2497,429731,1.2581670056,1.10739797545858e-27
VBP,2413,397345,1.3159103654,4.28645043069327e-37
CD,636,96396,1.4235146704,5.75312616019848e-17
``,253,35216,1.5483566675,8.75811890629254e-11
WDT,111,60541,0.3940410743,1.24937759282241e-30
WRB,418,130658,0.6874009236,5.39759041905798e-16
WP,423,107059,0.850032368,0.0007167192
POS,440,125074,0.7562838001,1.20303381171768e-09
MD,691,210462,0.7046966366,3.87804356929779e-22
:,801,207536,0.8295257211,6.94508298915701e-08
TO,1085,331478,0.7012201912,1.02965413238811e-34
VBN,1285,342448,0.8052027909,1.76228203217973e-15
VBG,1315,352614,0.80009047,1.0926447476891e-16
PRP$,1898,489098,0.8320602783,4.24049257770904e-16
VBD,2029,609973,0.7097651915,2.4471429243125e-58
CC,2119,735528,0.611278685,1.4953134911422e-129
",",3442,1277139,0.5638274427,2.3320348752457e-284
RB,3569,858571,0.890771308,6.47632701860044e-12
JJ,4844,1273582,0.8087843313,1.49699932699757e-49
IN,7305,2137955,0.712703168,1.38050389480641e-185
DT,7670,1924514,0.8450881013,5.27976000505463e-47
NN,12855,2901090,0.9465441021,7.0343171035285e-09
