LEMMA	PROB
CHAR	0.013661141886076228
a	0.0001765575688022776
abandon	0.00019421332568250534
ability	0.00024718059632318864
able	0.0008563042086910463
about	0.0006356072476881993
absence	9.710666284125267e-05
accent	5.2967270640683275e-05
accept	0.00016331575114210677
accompany	6.62090883008541e-05
account	4.8553331420626336e-05
accuse	0.00012359029816159432
ache	0.0001324181766017082
acknowledge	0.00012800423738165126
act	0.0004634636181059787
action	0.00011034848050142349
add	0.0010416896559334377
address	0.00017214362958222065
adjust	0.00014565999426187901
admire	0.00011034848050142349
admit	0.0004104963474652954
advantage	7.503696674096798e-05
advice	7.945090596102492e-05
affect	7.503696674096798e-05
afford	5.738120986074022e-05
afraid	0.00040166846902518153
again	5.738120986074022e-05
age	0.00024718059632318864
agree	0.0007989229988303061
aim	0.0001324181766017082
air	9.269272362119573e-05
alert	7.062302752091104e-05
alive	0.00027366423164353027
all	0.00032663150228421354
allow	0.0007194720928692811
alone	0.0001897993864624484
alpha	5.2967270640683275e-05
amaze	7.062302752091104e-05
amuse	9.269272362119573e-05
anchor	4.8553331420626336e-05
anger	0.00028249211008364415
angle	0.00010152060206130961
angry	0.00032663150228421354
ankle	0.00019421332568250534
announce	0.00032663150228421354
annoy	9.710666284125267e-05
annoyed	5.738120986074022e-05
answer	0.0017655756880227758
anxiety	8.82787844011388e-05
anxious	7.062302752091104e-05
any	0.00011917635894153738
anyone	7.945090596102492e-05
anything	0.0007238860320893381
apartment	0.00019862726490256228
apologize	9.269272362119573e-05
appear	0.0005031890710864911
appearance	7.945090596102492e-05
appreciate	7.503696674096798e-05
approach	0.0005473284632870605
approval	4.8553331420626336e-05
arch	0.0001765575688022776
archangel	0.00012359029816159432
argue	0.00026042241398335943
argument	4.8553331420626336e-05
arm	0.009048575401116726
armor	5.738120986074022e-05
army	9.269272362119573e-05
arrange	6.179514908079716e-05
arrival	5.738120986074022e-05
arrive	0.0003840127121449538
arrow	6.179514908079716e-05
ask	0.015351680607358037
asleep	0.00020304120412261922
ass	7.503696674096798e-05
assess	5.738120986074022e-05
assign	6.179514908079716e-05
assume	0.0002560084747633025
assure	0.00047229149654609255
attack	0.00032663150228421354
attempt	0.00024718059632318864
attention	0.0008209926949305908
attitude	5.2967270640683275e-05
aunt	0.00019421332568250534
authority	6.179514908079716e-05
avoid	0.00028690604930370106
awake	0.0003354593807243274
awaken	4.8553331420626336e-05
aware	0.0001765575688022776
baby	9.269272362119573e-05
back	0.003058859879499459
backpack	0.00023835271788307476
bad	0.00016331575114210677
badge	6.62090883008541e-05
bag	0.0007636114850698506
balance	0.0001765575688022776
ball	7.945090596102492e-05
band	8.386484518108185e-05
bang	9.269272362119573e-05
bar	7.945090596102492e-05
bare	0.00011034848050142349
bark	0.00014124605504182208
bat	7.062302752091104e-05
bathroom	5.2967270640683275e-05
