LEMMA	PROB
#gha	3.306996778433972e-05
's	4.960495167650958e-05
CHAR	0.011126206938997851
a	0.00013871014265098047
abandon	0.00017637316151647848
abdomen	7.165159686606938e-05
abduct	1.1941932811011564e-05
abducted	1.1941932811011564e-05
abduction	1.0104712378548246e-05
ability	0.00023240838470660967
able	0.0011703094154791333
about	0.0006228177266050646
absence	9.094241140693422e-05
absent	2.0209424757096492e-05
absorb	6.705854578491109e-05
abuse	1.7453594108401517e-05
accelerate	5.6953833406362844e-05
acceleration	1.56163736759382e-05
accent	9.645407270432418e-05
accept	0.0004087815462230882
acceptance	1.56163736759382e-05
access	0.0001405473630834438
accident	2.204664518955981e-05
accompany	0.00012676820983996892
accomplice	1.4697763459706541e-05
accomplish	3.6744408649266355e-05
accomplishment	1.2860543027243223e-05
account	0.00014146597329967546
accumulate	1.0104712378548246e-05
accusation	2.0209424757096492e-05
accuse	0.00011115183616403071
accustom	2.8476916703181422e-05
ache	6.613993556867944e-05
achieve	4.409329037911962e-05
achievement	1.1941932811011564e-05
acknowledge	0.00018372204324633177
acknowledgment	1.0104712378548246e-05
acquaintance	2.1128034973328153e-05
acquire	6.705854578491109e-05
act	0.0002673155729234127
action	0.00016902427978662522
activate	0.00011482627702895735
activity	5.511661297389953e-05
adamant	1.9290814540864835e-05
adapt	1.56163736759382e-05
add	0.0014936602115926771
address	0.00030314137135644743
adjust	0.0002094431293008182
administer	1.0104712378548246e-05
administration	1.8372204324633178e-05
administrator	2.388386562202313e-05
admiral	2.5721086054486446e-05
admire	0.0001249309894075056
admit	0.0005667825034149335
admonish	1.9290814540864835e-05
adopt	6.797715600114275e-05
adore	3.582579843303469e-05
adrenaline	1.1023322594779905e-05
adrift	1.1023322594779905e-05
adult	3.031413713564474e-05
advance	6.889576621737442e-05
advantage	7.440742751476436e-05
adventure	1.3779153243474882e-05
adversary	1.1941932811011564e-05
advice	8.26749194608493e-05
advise	0.00012860543027243222
adviser	1.1023322594779905e-05
advisor	3.2151357568108055e-05
affair	3.12327473518764e-05
affect	6.889576621737442e-05
affection	1.8372204324633178e-05
affirm	1.56163736759382e-05
affix	1.56163736759382e-05
afford	0.00013503570178605384
afraid	0.0003738743580062851
afternoon	1.653498389216986e-05
again	5.419800275766787e-05
age	0.0002902808283292042
agenda	2.7558306486949765e-05
agent	0.00010380295443417745
agitate	2.0209424757096492e-05
agitation	1.1023322594779905e-05
agony	1.1023322594779905e-05
agree	0.0010132270685035197
agreement	6.154688448752114e-05
ai	2.1128034973328153e-05
aid	2.8476916703181422e-05
aide	5.6035223190131187e-05
aim	0.00029946693049152077
air	0.0001359543120022855
aircraft	1.653498389216986e-05
airfield	1.2860543027243223e-05
airlock	1.4697763459706541e-05
airship	2.0209424757096492e-05
aishid	6.889576621737442e-05
aisle	2.6639696270718104e-05
alarm	8.451213989331261e-05
ale	1.0104712378548246e-05
alert	0.00011390766681272569
algorithm	2.388386562202313e-05
alien	3.858162908172967e-05
alive	0.000503398398494949
all	0.00035274632303295696
alley	1.1941932811011564e-05
allow	0.0009048310629881839
ally	7.532603773099602e-05
almanac	1.4697763459706541e-05
almost	1.4697763459706541e-05
alone	0.00013779153243474883
alright	1.1023322594779905e-05
alter	3.306996778433972e-05
alternate	1.56163736759382e-05
amaze	9.645407270432418e-05
amazement	1.1941932811011564e-05
amazing	2.204664518955981e-05
ambassador	1.0104712378548246e-05
ambition	1.7453594108401517e-05
ambitious	1.7453594108401517e-05
amble	3.031413713564474e-05
ambush	2.7558306486949765e-05
amend	2.5721086054486446e-05
america	1.4697763459706541e-05
american	2.480247583825479e-05
ammunition	1.0104712378548246e-05
amount	3.031413713564474e-05
amuse	9.002380119070256e-05
amusement	3.031413713564474e-05
analysis	3.12327473518764e-05
analyst	1.0104712378548246e-05
analyze	3.12327473518764e-05
ancestor	2.5721086054486446e-05
anchor	2.296525540579147e-05
ancient	1.1023322594779905e-05
angel	2.0209424757096492e-05
anger	0.00023516421535530466
angle	6.889576621737442e-05
angry	0.00024802475838254785
anguish	1.1023322594779905e-05
animal	3.950023929796133e-05
ankle	0.0002452689277338529
announce	0.0003747929682225168
announcement	2.204664518955981e-05
annoy	8.359352967708095e-05
annoyance	2.204664518955981e-05
annoyed	2.204664518955981e-05
another	9.461685227186086e-05
answer	0.0014339505475376194
antenna	0.00013962875286721213
anticipate	8.451213989331261e-05
anxiety	4.317468016288796e-05
anxious	5.6035223190131187e-05
any	0.00013044265070489555
anybody	1.7453594108401517e-05
anyone	0.0001203379383263473
anything	0.0004740028715755359
apartment	0.00037111852735759014
apologize	7.8081868379691e-05
apology	2.6639696270718104e-05
app	1.56163736759382e-05
appal	2.8476916703181422e-05
appeal	2.1128034973328153e-05
appear	0.0005484102990903003
appearance	0.0001047215646504091
appetite	3.306996778433972e-05
apple	2.296525540579147e-05
application	1.8372204324633178e-05
apply	8.634936032577593e-05
appoint	2.1128034973328153e-05
appointment	2.9395526919413083e-05
appraise	3.2151357568108055e-05
appreciate	0.0001313612609211272
appreciation	1.3779153243474882e-05
apprehend	1.1023322594779905e-05
apprentice	3.3988578000571376e-05
approach	0.000729376511687937
approval	4.409329037911962e-05
approve	7.532603773099602e-05
apron	1.7453594108401517e-05
arc	1.0104712378548246e-05
arch	9.277963183939753e-05
archive	2.0209424757096492e-05
area	7.900047859592265e-05
argue	0.0002406758766526946
argument	6.797715600114275e-05
arm	0.00507807727532861
armor	0.00015524512654315034
armored	1.1023322594779905e-05
armour	1.1941932811011564e-05
armpit	4.409329037911962e-05
army	5.236078232520455e-05
around	2.1128034973328153e-05
arouse	1.1941932811011564e-05
arrange	0.00012401237919127393
arrangement	1.9290814540864835e-05
array	1.3779153243474882e-05
arrest	0.0001203379383263473
arrival	0.00012125654854257896
arrive	0.0006062827427128949
arrogance	1.4697763459706541e-05
arrogant	1.7453594108401517e-05
arrow	1.56163736759382e-05
arse	1.1941932811011564e-05
arsenal	1.1023322594779905e-05
art	3.2151357568108055e-05
artery	1.0104712378548246e-05
article	3.031413713564474e-05
articulate	1.1941932811011564e-05
artifact	1.4697763459706541e-05
artist	1.3779153243474882e-05
as	4.2256069946656306e-05
ascend	3.766301886549801e-05
ascertain	1.1023322594779905e-05
ash	1.3779153243474882e-05
ashamed	3.306996778433972e-05
ask	0.015774374633130046
asleep	0.0002121989599495132
aspect	1.4697763459706541e-05
ass	0.00012401237919127393
assail	1.1023322594779905e-05
assailant	1.3779153243474882e-05
assassin	1.2860543027243223e-05
assassinate	1.8372204324633178e-05
assault	4.409329037911962e-05
assemble	4.776773124404626e-05
assent	1.653498389216986e-05
assert	2.0209424757096492e-05
assess	4.593051081158294e-05
assessment	4.409329037911962e-05
asset	1.8372204324633178e-05
asshole	1.56163736759382e-05
assign	0.0001093146157315674
assignment	8.26749194608493e-05
assimilate	1.3779153243474882e-05
assist	5.6953833406362844e-05
assistance	2.0209424757096492e-05
assistant	0.0001230937689750423
associate	7.8081868379691e-05
assume	0.0004170490381691731
