language,k,filename,word.count,dissimilarity.change,p,z
english,9,"1794_Radcliffe,Ann_TheMysteriesofUdolpho_Novel_1.txt",290290,-0.2556299452,3.18131763010481e-07,-2.8549792103
english,94,"1888_Ward,Mrs.Humphry_RobertElsmere_Novel_1.txt",285809,-0.1921991701,2.73893404607878e-08,-2.1334079684
english,142,"1920_DosPassos,John_ThreeSoldiers_Novel_1.txt",133841,-0.1840048106,1.31068210799474e-10,-2.0401911635
english,71,"1860_Eliot,George_TheMillontheFloss_Novel_1.txt",205982,-0.1701602959,3.51058529418646e-07,-1.882699731
english,25,"1811_Austen,Jane_SenseandSensibility_Novel_1.txt",118474,-0.159219635,4.08645292866103e-10,-1.7582417485
english,109,"1895_Wells,H.G._TheTimeMachine_Novel_1.txt",32302,-0.1501726122,2.09605528314866e-06,-1.6553252783
english,48,"1847_Aguilar,Grace_HomeInfluence_Novel_1.txt",170341,-0.1465226199,7.23471493161352e-08,-1.6138039583
english,126,"1906_London,Jack_WhiteFang_Novel_1.txt",71935,-0.1405861898,1.0761462464765e-05,-1.5462727446
english,146,"1922_Joyce,James_Ulysses_Novel_1.txt",264176,-0.1394117647,0.0030104854,-1.5329128046
english,119,"1902_Bennett,Arnold_GrandBabylonHotel_Novel_1.txt",67453,-0.1390728477,0.0004342819,-1.5290573768
english,135,"1913_Lawrence,D.H._SonsandLovers_Novel_1.txt",160099,-0.1371020143,0.0002395798,-1.5066377123
english,66,"1855_Trollope,FrancesMilton_TheWidowBarnaby_Novel_1.txt",195072,-0.128678987,0.0020383787,-1.4108196451
english,72,"1861_Dickens,Charles_GreatExpectations_Novel_1.txt",184360,-0.1224226804,0.0058299659,-1.3396496034
english,7,"1790_Radcliffe,Ann_ASicilianRomance_Novel_1.txt",67449,-0.1131019037,0.0038389758,-1.2336189831
english,116,"1900_Kipling,Rudyard_Kim_Novel_1.txt",104779,-0.1129837703,8.07377483638355e-05,-1.2322751296
english,101,"1891_Hardy,Thomas_TessoftheD'Urbervilles_Novel_1.txt",148451,-0.1053054662,0.0001761757,-1.1449288315
english,82,"1876_Trollope,FrancesEleanor_ACharmingFellow_Novel_1.txt",182420,-0.1009966777,0.0020969601,-1.0959132257
english,118,"1902_Bellamy,Edward_Eleonora_Novel_1.txt",72786,-0.0979192166,0.020045543,-1.0609048655
english,13,"1796_Burney,Fanny_Camilla_Novel_1.txt",355980,-0.0962655602,0.0014007355,-1.0420933192
english,60,"1852_Collins,Wilkie_Basil_Novel_1.txt",113790,-0.0910281598,0.0004632017,-0.9825140773
english,78,"1869_Blackmore,R.D._LornaDoone_Novel_1.txt",271543,-0.0888157895,9.1203419934694e-06,-0.9573467545
english,85,"1881_James,Henry_PortraitofaLady_Novel_1.txt",223757,-0.0881704629,0.0002650348,-0.9500056949
english,45,"1838_Poe,EdgarAllen_TheNarrativeofArthurGordonPym_Novel_1.txt",99283,-0.0838235294,0.013347316,-0.9005561621
english,51,"1847_Thackeray,William_VanityFair_Novel_1.txt",301715,-0.0815024805,0.0076886608,-0.8741525412
english,80,"1871_Carroll,Lewis_ThroughtheLookingGlass_1.txt",29126,-0.080397845,0.1515376886,-0.8615865082
english,105,"1894_Freeman,MaryWilkins_Pembroke_Novel_1.txt",78856,-0.0802647911,0.0014851898,-0.8600729227
english,52,"1848_Bronte,Ann_TheTenantofWildfellHall_Novel_1.txt",164388,-0.0801364024,5.73988684844726e-06,-0.8586124081
english,140,"1917_Webb,Mary_GonetoEart_Novel_1.txt",81418,-0.0752815649,0.023851957,-0.8033850976
english,69,"1859_Dickens,Charles_ATaleofTwoCities_Novel_1.txt",135593,-0.0701083493,0.2432587545,-0.7445360038
english,74,"1862_Eliot,George_Romola_Novel_1.txt",226549,-0.0694214876,0.0376580537,-0.7367224524
english,68,"1857_Trollope,Anthony_BarchesterTowers_Novel_1.txt",197279,-0.0671400904,0.0300873464,-0.7107698982
english,114,"1900_Barr,Amelia_TheMaidofMaidenLane_Novel_1.txt",80376,-0.0661625709,0.183936815,-0.6996499024
english,112,"1899_Chopin,Kate_TheAwakening_Novel_1.txt",49710,-0.0638297872,0.0010095965,-0.6731127901
