word.count,avg.ttr,sd.ttr,FILENAME,LIBRARIES,TITLE,AUTH_LAST,AUTH_FIRST,AUTH_ID,PUBL_CITY,PUBLISHER,PUBL_DATE,Label
171786,0.42464,0.0256032353,00002734.txt,624,Coniston,Churchill,Winston,A_00649,New York/London,Macmillan Co.,1906,
53233,0.43565,0.0361962594,00002669.txt,40,Plain Mary Smith,Phillips,Henry Wallace,A_02732,New York,Century Co.,1905,
44440,0.42626,0.0217699728,00011111.txt,195,Hieroglyphics,Machen,Arthur,A_02181,New York,Alfred A. Knopf,1923,
112738,0.43798,0.0304733631,00004598.txt,64,The enchanted canyon,McCue,Nora Bryant,A_02318,New York,A.L. Burt Co. : Frederick A. Stokes Co.,1921,
61667,0.40009,0.0369022993,00003913.txt,40,The Wall street girl,Bartlett,Frederick Orin,A_00185,Boston/New York,Houghton Mifflin Co.,1916,
52924,0.42818,0.0197347972,00003345.txt,101,Steele of the Royal Mounted (Philip Steele),Curwood,James Oliver,A_00821,New York,A.L. Burt,1911,
58332,0.45319,0.0455577544,00002224.txt,124,The lady paramount,Harland,Henry,A_01547,New York/London,John Lane,1902,
69165,0.44241,0.0208637209,00011281.txt,53,Mystery Mile,Allingham,Margery,A_00055,Garden City/N.Y.,George H. Doran Co.,1930,
93793,0.42173,0.0248912199,00004697.txt,42,The dust flower,King,Basil,A_01907,New York/London,Harper & Bros.,1922,
168684,0.43508,0.0239762846,00010274.txt,199,Giants in the earth,Rolvaag,Ole,A_02961,New York,Harper & Bros.,1927,
94571,0.44407,0.0230406996,00011237.txt,182,The hounds of God,Sabatini,Rafael,A_03001,Boston/New York,Houghton Mifflin Co.,1928,
56287,0.43084,0.0244518575,00000401.txt,55,Dyke Darrel: the railroad detective: or: The crime of the midnight express,Pinkerton,Frank,A_02755,Chicago,F.C. Laird,1886,
85436,0.42163,0.0242627265,00011256.txt,16,Nemesis at Raynham Parva,Stewart,Alfred Walter,A_03264,London,V. Gollancz,1929,
37451,0.46145,0.0231177814,00000243.txt,127,In the Carquinez woods,Harte,Bret,A_01577,Boston,Houghton Mifflin Co.,1884,
56608,0.45043,0.0303289224,00003517.txt,67,Son of the sun,London,Jack,A_02113,New York,Grosset & Dunlap,1912,
75441,0.42027,0.031126933,00002890.txt,171,The lady of the Aroostook,Howells,William Dean,A_01716,Boston/New York,Houghton Mifflin Co.,1907,
102164,0.4827,0.0200184259,00003576.txt,63,The iron trail,Beach,Rex,A_00208,New York,Burt,1913,
63129,0.47004,0.0315014574,00000339.txt,28,The queen of Sheba,Aldrich,Thomas Bailey,A_00034,Boston/New York,Houghton Mifflin Co.,1886,
138873,0.45966,0.0177332764,00003681.txt,826,The custom of the country,Wharton,Edith,A_03582,New York,Charles Scribner's Sons,1913,
104121,0.44957,0.0301649522,00004851.txt,293,The passionate friends,Wells,H. G.,A_03563,New York/London,Harper & Bros.,1913,
106383,0.4639,0.0270429886,00003807.txt,104,Heart of the sunset,Beach,Rex,A_00208,New York/London,Harper & Bros.,1915,
93443,0.43312,0.0211761635,00011270.txt,14,Magic for Marigold,Montgomery,L. M.,A_02448,New York,A.L. Burt,1929,
230530,0.44311,0.0288615276,00004262.txt,282,In the heart of a fool,White,William Allen,A_03606,New York,Macmillan Co.,1918,
151184,0.41803,0.0291594207,00011212.txt,177,Wintersmoon,Walpole,Hugh,A_03503,New York,Grosset & Dunlap,1927,
134735,0.42585,0.0291666667,00000679.txt,107,The witch of Prague,Crawford,F. Marion,A_00778,New York,P.F. Collier & Son,1890,
127879,0.47792,0.0184597186,00004559.txt,27,A daughter of the middle border,Garland,Hamlin,A_01306,London,J. Lane,1921,
102075,0.45839,0.0216980635,00003950.txt,153,They of the high trails,Garland,Hamlin,A_01306,New York/London,Harper & Bros.,1916,
57908,0.46333,0.0213480323,00010261.txt,164,Nomad's land,Rinehart,Mary Roberts,A_02912,New York,George H. Doran Co.,1926,
61034,0.44085,0.0257918533,00011307.txt,17,The man who bought London,Wallace,Edgar,A_03493,London,"""Melbourne : Ward, Lock""",1930,
79709,0.45434,0.0334205586,00010313.txt,110,Early candlelight,Lovelace,Maud Hart,A_02133,New York,John Day Co.,1929,
96617,0.4898,0.0398299415,00003547.txt,101,The Valiants of Virginia,Rives,Hallie Erminie,A_02916,Indianapolis,Bobbs-Merrill,1912,
120770,0.41387,0.0297903974,00010263.txt,564,The time of man,Roberts,Elizabeth Madox,A_02922,New York,Viking Press,1926,
54619,0.41857,0.0187014044,00011151.txt,14,Some men and women,Lowndes,Marie Belloc,A_02139,London,Hutchinson,1925,
83381,0.42679,0.0409094331,00000648.txt,57,The right knock,Van-Anderson,Helen,A_03461,Chicago,H. Van-Anderson,1889,
60888,0.43886,0.022004141,00010236.txt,259,The professor's house,Cather,Willa,A_00587,New York,Grosset & Dunlap,1925,
104621,0.41605,0.0183591416,00001443.txt,28,That affair next door,Green,Anna Katharine,A_01444,New York/London,G.P. Putnam's Sons,1897,
129421,0.44309,0.02907326,00003109.txt,284,The romance of a plain man,Glasgow,Ellen Anderson Gholson,A_01372,New York,Macmillan Co.,1909,
51350,0.42781,0.0369347486,00010219.txt,137,Legends of Texas,Dobie,J. Frank,A_00954,Tex.,"""Austin, Published by the Texas Folk-lore Society""",1924,
82635,0.48192,0.0366095092,00003832.txt,33,The air trust,England,George Allan,A_01095,St. Louis/Mo.,: Published by Phil Wagner,1915,
56891,0.35355,0.0349497113,00010328.txt,186,As I lay dying,Faulkner,William,A_01140,New York,"""J. Cape, H. Smith""",1930,
165368,0.44224,0.0297022667,00000333.txt,37,An original belle,Roe,Edward Payson,A_02950,New York,"""Dodd, Mead""",1885,
60158,0.41218,0.0264381802,00004847.txt,257,Sunshine sketches of a little town,Leacock,Stephen,A_02016,New York/London,John Lane Co.,1912,
127261,0.42509,0.0287156365,00003972.txt,54,The side of the angels,King,Basil,A_01907,New York/London,Harper & Bros.,1916,
